scenario,model,episode_id,reward
random_terrain,CA,17,-176.1000
random_terrain,CA,18,-190.4000
random_terrain,CA,19,-186.7000
random_terrain,CA,20,-188.1000
random_terrain,CA,21,-197.8000
random_terrain,CA,22,-190.1000
random_terrain,CA,23,-207.3000
random_terrain,CA,24,-196.1000
random_terrain,CA,25,-168.2000
random_terrain,CA,26,-181.0000
random_terrain,CA,27,-154.7000
random_terrain,CA,28,-200.9000
random_terrain,CA,29,-201.7000
random_terrain,CA,30,-220.9000
random_terrain,SA,1,-2.2000
random_terrain,SA,2,-1.1000
random_terrain,SA,3,-91.4000
random_terrain,SA,4,2.0000
random_terrain,SA,5,-19.2000
random_terrain,SA,6,-39.4000
random_terrain,SA,7,-17.0000
random_terrain,SA,8,-59.9000
random_terrain,SA,9,-17.3000
random_terrain,SA,10,-167.0000
random_terrain,SA,11,-81.5000
random_terrain,SA,12,-199.4000
random_terrain,SA,13,-206.3000
random_terrain,SA,14,-201.8000
random_terrain,SA,15,-204.5000
random_terrain,SA,16,1.8000
random_terrain,SA,17,-78.4000
random_terrain,SA,18,-13.7000
random_terrain,SA,19,-47.0000
random_terrain,SA,20,-108.0000
random_terrain,SA,21,-0.9000
random_terrain,SA,22,1.4000
random_terrain,SA,23,-93.5000
random_terrain,SA,24,-148.4000
random_terrain,SA,25,-52.2000
random_terrain,SA,26,-0.4000
random_terrain,SA,27,-180.7000
random_terrain,SA,28,0.8000
random_terrain,SA,29,1.1000
random_terrain,SA,30,-175.5000
delayed_ignition,CA,1,-203.6000
delayed_ignition,CA,2,-204.2000
delayed_ignition,CA,3,-147.7000
delayed_ignition,CA,4,-220.0000
delayed_ignition,CA,5,-220.7000
delayed_ignition,CA,6,-223.7000
delayed_ignition,CA,7,-64.3000
delayed_ignition,CA,8,-211.1000
delayed_ignition,CA,9,-197.6000
delayed_ignition,CA,10,-207.9000
delayed_ignition,CA,11,-198.2000
delayed_ignition,CA,12,-208.4000
delayed_ignition,CA,13,-214.2000
delayed_ignition,CA,14,-211.6000
delayed_ignition,CA,15,-205.2000
delayed_ignition,CA,16,-197.6000
delayed_ignition,CA,17,-181.9000
delayed_ignition,CA,18,-209.9000
delayed_ignition,CA,19,-206.0000
delayed_ignition,CA,20,-77.2000
delayed_ignition,CA,21,-213.6000
delayed_ignition,CA,22,-206.0000
delayed_ignition,CA,23,-133.6000
delayed_ignition,CA,24,-186.5000
delayed_ignition,CA,25,-202.2000
delayed_ignition,CA,26,-218.3000
delayed_ignition,CA,27,-192.6000
delayed_ignition,CA,28,-200.6000
delayed_ignition,CA,29,-215.9000
delayed_ignition,CA,30,-158.7000
delayed_ignition,SA,1,-80.7000
delayed_ignition,SA,2,-1.2000
delayed_ignition,SA,3,-20.8000
delayed_ignition,SA,4,-0.4000
delayed_ignition,SA,5,-0.4000
delayed_ignition,SA,6,-190.9000
delayed_ignition,SA,7,-107.5000
delayed_ignition,SA,8,-196.0000
delayed_ignition,SA,9,-20.0000
delayed_ignition,SA,10,-205.0000
delayed_ignition,SA,11,-200.2000
delayed_ignition,SA,12,-126.6000
delayed_ignition,SA,13,-207.1000
delayed_ignition,SA,14,-1.1000
delayed_ignition,SA,15,-180.8000
delayed_ignition,SA,16,-3.1000
delayed_ignition,SA,17,-65.8000
delayed_ignition,SA,18,-59.5000
