#{"t_start": 1777574821.3629181, "env_id": "None"}
r,l,t,fire_cells,burning_population,newly_burned,fire_delta,new_ignitions
-178.6,100,75.866146,0,0,0,0.0,0
-138.3,100,75.967231,0,0,0,0.0,0
-0.4,100,76.0784,0,0,0,0.0,0
-47.5,100,76.190213,0,0,0,0.0,0
-89.1,100,76.302431,0,0,0,0.0,0
0.7,100,76.41423,0,0,0,0.0,0
-160.4,100,76.503385,0,0,0,0.0,0
-17.9,100,76.613865,0,0,0,0.0,0
1.8,100,76.717687,0,0,0,0.0,0
-190.7,100,76.818114,0,0,0,0.0,0
-211.7,100,76.917873,0,0,0,0.0,0
-74.9,100,77.025728,0,0,0,0.0,0
-156.0,100,77.117183,0,0,0,0.0,0
-231.4,100,77.211135,0,0,0,0.0,0
-171.4,100,77.30074,0,0,0,0.0,0
-131.3,100,78.896535,0,0,0,0.0,0
-57.5,100,79.066167,0,0,0,0.0,0
-207.9,100,79.184742,0,0,0,0.0,0
-50.2,100,79.309883,0,0,0,0.0,0
-200.9,100,79.410667,0,0,0,0.0,0
1.8,100,79.530746,0,0,0,0.0,0
-101.4,100,79.643481,0,0,0,0.0,0
-195.7,100,79.741702,0,0,0,0.0,0
-186.5,100,79.837926,0,0,0,0.0,0
-193.5,100,79.940364,0,0,0,0.0,0
-74.8,100,80.049848,0,0,0,0.0,0
-183.7,100,80.149826,0,0,0,0.0,0
-73.6,100,80.260292,0,0,0,0.0,0
-67.6,100,80.371918,0,0,0,0.0,0
1.8,100,80.483784,0,0,0,0.0,0
-179.6,100,80.594846,0,0,0,0.0,0
-171.5,100,80.701888,0,0,0,0.0,0
-127.2,100,80.792887,0,0,0,0.0,0
-153.3,100,80.893017,0,0,0,0.0,0
-147.9,100,80.990199,0,0,0,0.0,0
-216.6,100,82.321848,0,0,0,0.0,0
2.0,100,82.416,0,0,0,0.0,0
-184.5,100,82.523968,0,0,0,0.0,0
-88.8,100,82.630369,0,0,0,0.0,0
1.1,100,82.738922,0,0,0,0.0,0
-15.2,100,82.849837,0,0,0,0.0,0
-54.4,100,82.949885,0,0,0,0.0,0
-115.5,100,83.053805,0,0,0,0.0,0
-137.1,100,83.143853,0,0,0,0.0,0
0.2,100,84.933262,0,0,0,0.0,0
-54.4,100,85.044284,0,0,0,0.0,0
1.0,100,85.14248,0,0,0,0.0,0
